,Ruptured Mean,Unruptured Mean,P-value
age,55.15909090909091,54.13559322033898,0.7111797063459229
sacVolume,144.70469602264748,254.72664569461236,0.04752540143189401
sacSurfaceArea,116.70963411514545,166.13800869133084,0.0630098322019979
vdcVolume,128.6824148124852,232.22022383614527,0.04112734758518509
vdcSurfaceArea,101.54300532822957,150.38349159671662,0.03934033155995287
sacSectionArea,25.5753728352975,36.263910922018475,0.06338307417415116
ellipsoidVolume,91.32610615058698,172.2684215570202,
ellipsoidMaxSemiaxis,3.3246255813953494,3.746155172413793,
ellipsoidMidSemiaxis,2.2149325581395356,2.8668224137931033,
ellipsoidMinSemiaxis,1.9400148837209303,2.429868793103448,
sacCenterlineLength,6.078813512937727,6.92989036043339,0.16378066947628808
ostiumSectionArea,16.138801301463406,21.311720699594577,0.06053169132200853
ostiumSectionPerimeter,13.955842764624775,15.979478330704914,0.06193655378427393
ostiumMinSize,1.7100870072291137,2.0676813046613898,0.013156254715108506
ostiumMaxSize,2.5572042654002276,2.908264476467627,0.08047633159795108
ostiumShapeFactor,0.6748262498124545,0.7174761338557797,0.05502902467229439
aspectRatio_star,1.577303974155159,1.5082492782126102,0.6419807979331231
sizeRatio_star,3.2914114231354548,2.655630454733661,0.047552214852316435
vesselDiameter,2.062186238034318,2.686627755461187,0.00014811624606681994
neckVesselAngle,32.57305065207932,42.288723453001225,0.11560244039794235
sacVesselAngle,39.18075795706864,40.9645781628139,0.7801973706721349
meanRadius,1.2927452176537952,1.6098470812458137,0.0001822122242724406
meanCurvature,0.08537109429783409,0.11000413587845592,0.022773017768492568
meanTorsion,0.5386253212845454,0.5696982576225933,0.8319634721813026
tortuosity,0.25721759244962245,0.5087162806839309,0.004443751278836575
minRadius,0.9930474504135909,1.2195503036968982,2.4649329415278564e-05
maxRadius,1.5858168111845685,2.055895750543729,0.00025679621529386547
maxCurvature,0.1913085103324023,0.26910901481404575,0.01717631374425063
maxTorsion,87.6673168412814,118.04149066260663,0.30780561938222906
bifurcationAngleInPlane,128.52760672910452,122.26756424658981,0.26013782427689236
bifurcationAngleOutOfPlane,20.77579225151818,19.5240400702717,0.528092576862036
